file,application_number,plant_name,empty_major_sections,unmapped_blocks,unmapped_chars
application_10158__eval.json,10158,1EVALUATION REPORT,BACT; PSD_applicability; CEQA; public_notification,0,0
application_10798__eval.json,10798,1EVALUATION REPORT,BACT; PSD_applicability; public_notification,0,0
application_11503__eval.json,11503,EVALUATION REPORT,BACT; PSD_applicability; CEQA; public_notification,2,405
application_12693__eval.json,12693,EVALUATION REPORT,BACT; PSD_applicability; CEQA; public_notification,1,92
application_12842__eval.json,12842,"Permit Evaluation and Statement of Basis Site No: A0010, Chevron Products Company",emission_calculations; BACT; PSD_applicability,11,8119
application_12975__eval.json,12975,"Chevron USA, Inc. has applied for a CARB-certifie d diesel engine (S-7013), which will be used",cumulative_increase; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions,3,3163
application_13023__eval.json,13023,EVALUATION REPORT,emission_calculations; PSD_applicability; public_notification,1,92
application_13610__eval-1.json,13610,"3Table IV A.3.1 will be revised to remove S-4093, S-4094, S-4095, and S-4402 per",emission_calculations; cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,0,0
application_13610__eval.json,13610,EVALUATION REPORT,emission_calculations; BACT; PSD_applicability; CEQA; public_notification,1,98
application_14096__eval-1.json,14096,"CHEVRON USA, INC.; PLANT 10",PSD_applicability; CEQA; permit_conditions; recommendation,2,516
application_14096__eval.json,14096,Chevron Products Company,cumulative_increase; PSD_applicability; CEQA,1,146
application_14486__eval.json,14486,PLANT NUMBER 10,PSD_applicability; CEQA,4,204
application_14675__eval.json,14675,EVALUATION REPORT,BACT; PSD_applicability; CEQA; public_notification,1,98
application_15711__eval.json,15711,11EVALUATION REPORT,emission_calculations; BACT; PSD_applicability; CEQA; public_notification,1,25
application_15821__eval.json,15821,14EVALUATION REPORT,emission_calculations; BACT; PSD_applicability; CEQA; public_notification,0,0
application_15914__eval.json,15914,Plant Number 10,PSD_applicability; CEQA,0,0
application_16392__eval.json,16392,39EVALUATION REPORT,emission_calculations; BACT; PSD_applicability; CEQA; public_notification,0,0
application_16590__eval.json,16590,"CHEVRON PRODUCTS COMP ANY, RICHMOND REFINERY",PSD_applicability; CEQA; public_notification,9,7222
application_16642__eval.json,16642,"CHEVRON PRODUCTS COMP ANY, RICHMOND REFINERY",BACT; PSD_applicability; CEQA; public_notification,2,136
application_16876__eval.json,16876,"Permit Evaluation and Statement of Basis Site No: A0010, Chevron Products Company",emission_calculations; BACT; PSD_applicability; CEQA; public_notification,0,0
application_17175__eval.json,17175,"CHEVRON PRODUCTS COMP ANY, RICHMOND REFINERY",PSD_applicability; CEQA; public_notification,8,6555
application_17281__eval.json,17281,59EVALUATION REPORT,emission_calculations; BACT; PSD_applicability; CEQA; public_notification,0,0
application_17428__eval.json,17428,Chevron Products is applying for an Authority to Construct/Permi t to Operate for the following :,PSD_applicability; CEQA,6,1383
application_17446__eval.json,17446,(PO) the following equipment:,PSD_applicability; CEQA,0,0
application_18091__eval.json,18091,"Chevron Products Company,",PSD_applicability; CEQA,7,13405
application_18646__eval.json,18646,EVALUATION REPORT,BACT; PSD_applicability; CEQA; public_notification,1,95
