file,application_number,plant_name,empty_major_sections,unmapped_blocks,unmapped_chars
2025-203549-California_Water_Service_Company_MPS_Station_12__fid203549_nsr_706981_eval_012425_pdf__application_203549__eval_01.json,203549,California Water Service Company – MPS Station 12,,2,1158
2025-30884-1__fid24848_nsr_30884_eval_091625_pdf__application_30884__eval_01.json,30884,1,PSD_applicability; CEQA; Statement_of_Compliance; permit_conditions; recommendation,1,11467
2025-31097-Georgia_Pacific_Gypsum_LLC__fid173_nsr_31097_eval_031425_pdf__application_31097__eval_01.json,31097,Georgia-Pacific Gypsum LLC,cumulative_increase; BACT; PSD_applicability; CEQA; Statement_of_Compliance; public_notification; permit_conditions; recommendation,1,76
2025-31475-Vallejo_Flood_and_Wastewater_District__fid3319_nsr_31475_710974_eval_042825_pdf__application_31475__eval_01.json,31475,Vallejo Flood and Wastewater District,,2,1624
2025-31552-Smart_Demolition_and_Excavation_Inc_has_requested_Permits_to_Operate_a_trommel__fid25146_nsr_31552_eval_090425_pdf__application_31552__eval_01.json,31552,Smart Demolition and Excavation Inc has requested Permits to Operate a trommel,BACT; PSD_applicability,0,0
2025-31560-2377_Garden_Tract_Road_Richmond_California_94801__fid1271_nsr_31560_eval_030725_pdf__application_31560__eval_01.json,31560,"2377 Garden Tract Road, Richmond, California 94801",,4,25837
2025-31690-San_Leandro_Water_Pollution_Control_Plant__fid2340_nsr_31690_eval_092425_pdf__application_31690__eval_01.json,31690,San Leandro Water Pollution Control Plant,,6,4179
2025-317008-ATTACHMENT_C_Emission_Calculations_101__fid25207_nsr_31700_eval_091225_pdf__application_317008__eval_01.json,317008,ATTACHMENT C: Emission Calculations ................................................................................... 101,PSD_applicability,3,4933
2025-3175-HASA_INC__fid10913_nsr_31754_eval_072325_pdf__application_3175__eval_01.json,3175,HASA INC,cumulative_increase; PSD_applicability; CEQA,3,582
2025-31809-Bauman_Landscape_and_Construction_Inc_Bauman_has_applied_for_an_Authority_to_Construct_and__fid25242_nsr_31809_eval_072325_pdf__application_31809__eval_01.json,31809,Bauman Landscape and Construction Inc . (Bauman) has applied for an Authority to Construct and,PSD_applicability,3,2712
2025-32088-Moz_Designs__fid24785_nsr_32088_eval_041625_pdf__application_32088__eval_01.json,32088,Moz Designs,PSD_applicability; permit_conditions,0,0
2025-32163-Certified_Blue_Recycling_Inc__fid23819_nsr_32163_eval_021425_pdf__application_32163__eval_01.json,32163,"Certified Blue Recycling, Inc",,1,183
