section,populated_count,missing_count,raw_candidate_count_when_missing,alias_candidate_count_when_missing,unmapped_only_candidate_count_when_missing,population_rate
background,769,2,0,0,0,0.9974
emission_calculations,717,54,16,0,16,0.93
cumulative_increase,588,183,61,0,61,0.7626
toxic_risk_screening_analysis,771,0,0,0,0,1.0
BACT,550,221,42,0,42,0.7134
offsets,513,258,44,0,44,0.6654
PSD_applicability,353,418,50,0,50,0.4578
CEQA,422,349,19,0,19,0.5473
Statement_of_Compliance,698,73,32,0,32,0.9053
public_notification,482,289,10,0,10,0.6252
conditions,696,75,16,0,16,0.9027
permit_conditions,695,76,16,0,16,0.9014
TitleV_permit,21,750,53,0,53,0.0272
recommendation,687,84,11,0,11,0.8911
