File Name,Site Name,AIRS ID,Date,Start of Compliance Period,End of Compliance Period,Item,NC item,Count,Units,No Enforcement Recommended?,Category
0012195-INSP-2025.pdf,Bennett Station,001-2195,30-Jul-25,January 2024,April 2025,,N/A,N/A,N/A,Y,other
0012202-INSP-2025.pdf,Big Sandy 3-65 36-31 1D,001-2202,30-Jul-25,June 2024,May 2025,A,"Source failed to conduct a performance test within 4,380 hours of previous performance test. Previous performance test occurred on 11/28/2023 and the next performance test was conducted on 3/18/2025 (5,545 hours elapsed from 12/2023 - 2/2025), violating Permit GP02, Condition VI.E.4.",2,Days,N,test
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,A,"The Source failed to record weekly condenser outlet temperatures for Point 008 fifty-two (52) times during the compliance period, from 1/1/2024 through 12/31/2024, violating Permit 19AD0262, Issuances 1 and 2, Condition 10. The Source noted that the operators mistakenly measured the condenser inlet temperature until it was corrected on 1/24/2025.",52,Times,N,temperature monitoring
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,B,"The Source failed to record the condenser outlet temperature and thus failed to calculate the rolling twelve month temperature for Point 008, violating Permit 19AD0262, Issuances 1 and 2, Condition 11.",,,N,temperature monitoring
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,C,"The Source failed to record the condenser outlet temperature monthly for twelve (12) months, between 1/2024 and 12/2024, violating Permit 19AD0262, Issuance 1, Condition 29 and Permit 19AD0262, Issuance 2, Condition 43.",12,Months,N,temperature monitoring
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,D,"The Source failed to limit the lean glycol circulation rate to 8 gpm twenty-three (23) times during the compliance period (see table below), violating Permit 19AD0262, Issuance 1, Condition 14, and Permit 19AD0262, Issuance 2, Condition 15.",23,Times,N,glycol circulation rate
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,E,"The Source exceeded the monthly throughput limit for Point 008 for six (6) months (see table below) during the compliance period, violating Permit 19AD0262, Issuance 2, Condition",12,Months,N,throughput
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,13,,,,N,other
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,F,"The Source exceeded the annual throughput limit for Point 008 for 6 months (see table below) during the compliance period, violating Permit 19AD0262, Issuance 2, Condition 13.",12,Month,N,throughput
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,G,,,,N,other
0012215-INSP-2025.pdf,Mustang Booster Station,001-2215,19-Feb-25,January 2024,December 2024,2022,"The Source did not install and start operating the flow meter until July 2024, violating AQCC Regulation 7, Part B, § II.B.2.g.",,,N,flow monitoring
