row_id,location_in_permit,consent_decree_citation,regulatory_language,change_type,author,date,para_idx,paragraph_excerpt
1,Condition 24491 (Table#32),,DELETE: Flares Subject to NSPS via Consent Decree Condition 24324,delete,Rachel Lien,2024-07-03T14:33:00Z,11588,"S854 - East Air Flare, S-943 Tank 691 Flare, S-944 North Stream Flare, S-945 South Stream Flare, S992-Emergency Flare, S1012 West Air Flare, S1517 - Coker Flare"
2,Condition 24491 (Table#32),,INSERT: S-943 Tank,insert,Rachel Lien,2024-07-03T14:33:00Z,11588,"S854 - East Air Flare, S-943 Tank 691 Flare, S-944 North Stream Flare, S-945 South Stream Flare, S992-Emergency Flare, S1012 West Air Flare, S1517 - Coker Flare"
3,Condition 24491 (Table#32),,"INSERT: 691 Flare, S-944 North Stream Flare, S-945 South Stream Flare,",insert,Rachel Lien,2024-07-03T14:34:00Z,11588,"S854 - East Air Flare, S-943 Tank 691 Flare, S-944 North Stream Flare, S-945 South Stream Flare, S992-Emergency Flare, S1012 West Air Flare, S1517 - Coker Flare"
4,Condition 24491 (Table#32),,DELETE: 40 CFR 60 Subpart J,delete,Rachel Lien,2024-07-03T14:35:00Z,11785,
5,Condition 24491 (Table#32),,DELETE: NSPS - Standards of Performance for Petroleum Refineries (12/01/2015) [Applies due to BAAQMD Condition 24324],delete,Rachel Lien,2024-07-03T14:35:00Z,11786,
6,Condition 24491 (Table#32),,DELETE: 60.100(a),delete,Rachel Lien,2024-07-03T14:35:00Z,11789,
7,Condition 24491 (Table#32),,"DELETE: Applicability: FCCU Catalyst Regenerators, Fuel Gas Combustion Devices, and Claus Sulfur Recovery Plants (20 TPD)",delete,Rachel Lien,2024-07-03T14:35:00Z,11790,
8,Condition 24491 (Table#32),,DELETE: Y,delete,Rachel Lien,2024-07-03T14:35:00Z,11791,
9,Condition 24491 (Table#32),,DELETE: 60.100(b),delete,Rachel Lien,2024-07-03T14:35:00Z,11793,
10,Condition 24491 (Table#32),,"DELETE: Applicability: Constructed/reconstructed/modified after June 11, 1973 and before May 14, 2007",delete,Rachel Lien,2024-07-03T14:35:00Z,11794,
11,Condition 24491 (Table#32),,DELETE: Y,delete,Rachel Lien,2024-07-03T14:35:00Z,11795,
12,Condition 24491 (Table#32),,DELETE: 60.104,delete,Rachel Lien,2024-07-03T14:35:00Z,11797,
13,Condition 24491 (Table#32),,DELETE: Standards for Sulfur Oxides,delete,Rachel Lien,2024-07-03T14:35:00Z,11798,
14,Condition 24491 (Table#32),,DELETE: Y,delete,Rachel Lien,2024-07-03T14:35:00Z,11799,
15,Condition 24491 (Table#32),,DELETE: 60.104(a)(1),delete,Rachel Lien,2024-07-03T14:35:00Z,11801,
16,Condition 24491 (Table#32),,DELETE: Limit on hydrogen sulfide content in fuel gas burned in fuel gas combustion devices: Exemption from fuel gas H2S concentration limit for the combustion in a flare of process upset gases or fuel gas that is released to the flare as a result of relief valve leakage or other emergency malfunctions.,delete,Rachel Lien,2024-07-03T14:35:00Z,11802,
17,Condition 24491 (Table#32),,DELETE: Y,delete,Rachel Lien,2024-07-03T14:35:00Z,11803,
18,Condition 24491 (Table#32),,DELETE: 60.105,delete,Rachel Lien,2024-07-03T14:35:00Z,11805,
19,Condition 24491 (Table#32),,DELETE: Monitoring of emissions and operations,delete,Rachel Lien,2024-07-03T14:35:00Z,11806,
20,Condition 24491 (Table#32),,DELETE: Y,delete,Rachel Lien,2024-07-03T14:35:00Z,11807,
21,Condition 24491 (Table#32),,DELETE: 60.105(a)(4)(iv),delete,Rachel Lien,2024-07-03T14:35:00Z,11809,
