Name,DEQ Number,Title,Document Date
DAQ-2009-003422 - 0901a0688015a4cb,DAQ-2009-003422,Big West Oil Co. - Flying J Refinery - H2S CEMS Certification - Amine Plant,12/16/2009
DAQ-2009-003422_1 - 0901a0688015a4ce,DAQ-2009-003422_1,Big West Oil Co. - Flying J Refinery - RATA Tail Gas Incinerator,9/4/2009
DAQ-2009-003422_2 - 0901a0688015a4cc,DAQ-2009-003422_2,Big West Oil Co. - Flying J Refinery - RATA H2S Fuel Gas Analyzer & Distributed Control System,9/16/2009
DAQ-2010-001554 - 0901a06880169d06,DAQ-2010-001554,Big West Oil LLC - 4th Qtr 2009 CEM report,1/28/2010
DAQ-2010-001555 - 0901a06880169d07,DAQ-2010-001555,Big West Oil LLC - VOC RA/PST Protocol Review Letter,2/4/2010
DAQ-2010-001556 - 0901a06880169d08,DAQ-2010-001556,Big West Oil LLC - VOC RA/PST Protocol Review memo,2/3/2010
DAQ-2010-001556_1 - 0901a06880169d09,DAQ-2010-001556_1,Big West Oil LLC - VRU VC CEMS RATA testing protocol,1/28/2010
DAQ-2010-001582 - 0901a06880169d0b,DAQ-2010-001582,Flying J Refinery - Annual Inspection memo,1/19/2010
DAQ-2010-001767 - 0901a0688016c8f8,DAQ-2010-001767,Big West Oil Co. - 4th Qtr SEDR review letter,2/16/2010
DAQ-2010-001768 - 0901a0688016c912,DAQ-2010-001768,Big West Oil Co. - 4th Qtr SEDR review memo,2/10/2010
DAQ-2010-002215 - 0901a06880177a50,DAQ-2010-002215,Big West Oil Co. - Flying J - North & South VRU - VOC RA/PST partial inspection,3/25/2010
DAQ-2010-002215_1 - 0901a06880177a51,DAQ-2010-002215_1,Big West Oil Co. - Flying J - North & South VRU - VOC RA/PST test reports,3/22/2010
DAQ-2010-002289 - 0901a0688017985f,DAQ-2010-002289,Big West Oil LLC - Flying J Refinery - Review of Pretest Protocol memo (& protocol),3/30/2010
DAQ-2010-002290 - 0901a06880179860,DAQ-2010-002290,Big West Oil LLC - Flying J Refinery - Review of Pretest Protocol letter to company,4/1/2010
DAQ-2010-002472 - 0901a068801872c6,DAQ-2010-002472,Big West Oil LLC - Flying J North Salt Lake Refinery - 1st Qtr 2010 VOC Monitoring Report,4/15/2010
DAQ-2010-002539 - 0901a068801893ee,DAQ-2010-002539,Big West Oil Co. - 1st Qtr 2010 SEDR review letter,5/11/2010
DAQ-2010-002540 - 0901a068801893f0,DAQ-2010-002540,Big West Oil Co. - 1st Qtr 2010 SEDR review memo,4/29/2010
DAQ-2010-003106 - 0901a06880196033,DAQ-2010-003106,Big West Oil - QQQ Semi-Annual Report,6/10/2010
DAQ-2010-003687 - 0901a068801a623f,DAQ-2010-003687,Big West Oil Co. - Flying J - RA/PST Certification,7/6/2010
DAQ-2010-003781 - 0901a068801a6240,DAQ-2010-003781,Big West Oil Co. - Flying J - RATA Final Report,6/14/2010
DAQ-2010-004109 - 0901a068801ae283,DAQ-2010-004109,Flying J Refinery - Big West Oil - Annual partial inspection,6/18/2010
DAQ-2010-004110 - 0901a068801ae284,DAQ-2010-004110,Flying J Refinery - Big West Oil - Semiannual NSPS VOC Monitoring Report - 1st half 2010,7/15/2010
DAQ-2010-004111 - 0901a068801ae285,DAQ-2010-004111,Flying J Refinery - Big West Oil - 2nd Qtr 2010 VOC Monitoring Report,7/15/2010
DAQ-2010-004112 - 0901a068801ae286,DAQ-2010-004112,"Flying J Refinery - Big West Oil - July 2, 2010 Breakdown Report for Tank 29",7/8/2010
DAQ-2010-004721 - 0901a068801b961a,DAQ-2010-004721,Big West Oil Co. LLC - Pretest Protocols Review letter,8/17/2010
DAQ-2010-004722 - 0901a068801b961d,DAQ-2010-004722,Big West Oil Co. LLC - Pretest Protocols Review memo & Protocols,8/5/2010
DAQ-2010-004723 - 0901a068801b961f,DAQ-2010-004723,Big West Oil Co. LLC - Semiannual Report - Fuel Usage - 1/1/2010 to 6/30/2010,7/29/2010
DAQ-2010-004724 - 0901a068801b9620,DAQ-2010-004724,Big West Oil Co. LLC - Semiannual Report - MACT II - 1/1/2010 to 6/30/2010,7/29/2010
DAQ-2010-004928 - 0901a068801befbc,DAQ-2010-004928,Flying J Refinery - Annual inspection memo,8/18/2010
DAQ-2010-004929 - 0901a068801befbd,DAQ-2010-004929,Big West Oil Co. - 2nd Qtr 2010 SEDR review letter,8/18/2010
DAQ-2010-004930 - 0901a068801befbe,DAQ-2010-004930,Big West Oil Co. - 2nd Qtr 2010 SEDR review memo,8/17/2010
DAQ-2010-005274 - 0901a068801c5e45,DAQ-2010-005274,Big West Oil LLC - Benzene Annual Report,9/15/2010
DAQ-2010-005275 - 0901a068801c5e46,DAQ-2010-005275,Big West Oil LLC - MACT Semiannual Report - 1/16/2010 to 7/15/2010,9/15/2010
DAQ-2010-005928 - 0901a068801da38b,DAQ-2010-005928,Big West Oil Inc. - 3rd Qtr 2010 VOC Monitoring Report,10/5/2010
DAQ-2010-005929 - 0901a068801da38c,DAQ-2010-005929,Big West Oil Inc. - SRU Efficiency Calculations,10/7/2010
DAQ-2010-005930 - 0901a068801da38d,DAQ-2010-005930,Big West Oil Inc. - 3rd Qtr 2010 SEDR Review letter,10/27/2010
DAQ-2010-005931 - 0901a068801da408,DAQ-2010-005931,Big West Oil Inc. - 3rd Qtr 2010 SEDR Review memo,10/25/2010
DAQ-2010-005933 - 0901a068801da40a,DAQ-2010-005933,Big West Oil Inc. - Full annual inspection,11/4/2010
DAQ-2010-006105 - 0901a068801de9f5,DAQ-2010-006105,Big West Oil - Breakdown Report for Tank 62 - 10/26/2010,11/1/2010
DAQ-2010-006106 - 0901a068801dea0a,DAQ-2010-006106,Big West Oil - 3rd Qtr CEM Excess Emissions Report - Certification letter,10/21/2010
DAQ-2010-006107 - 0901a068801dea0b,DAQ-2010-006107,Big West Oil - Scheduled Sulfur Recovery Unit Turnaround,8/11/2010
DAQ-2010-006152 - 0901a068801df337,DAQ-2010-006152,Big West Oil Co. - Amine Plant - RA/PST Audit - Partial Inspection,11/18/2010
DAQ-2010-006372 - 0901a068801e9067,DAQ-2010-006372,Big West Oil Co. - Flying J - Partial Inspection - RA/PST Audits,12/8/2010
DAQ-2010-006464 - 0901a068801e906a,DAQ-2010-006464,Big West Oil Co. - Flying J - RATA Reports for the SRU SO2 and O2 Monitors,11/4/2010
DAQ-2010-006647 - 0901a068801fa187,DAQ-2010-006647,Big West Oil LLC - Breakdown Report - 11/5/2010,11/10/2010
DAQ-2010-006648 - 0901a068801fa188,DAQ-2010-006648,Big West Oil LLC - Breakdown Report - 11/24/2010,12/1/2010
DAQ-2010-006649 - 0901a068801fa189,DAQ-2010-006649,Big West Oil LLC - Breakdown Report - 11/28/2010,12/7/2010
DAQ-2010-006650 - 0901a068801fa18a,DAQ-2010-006650,Big West Oil LLC - Breakdown Report - 12/3/2010,12/10/2010
DAQ-2010-006651 - 0901a068801fa18b,DAQ-2010-006651,Big West Oil LLC - Breakdown Report - 12/14/2010,12/20/2010
DAQ-2010-006726 - 0901a068801fa186,DAQ-2010-006726,Big West Oil LLC - Stack Test Report dated 6/14/2010,6/14/2010
DAQ-2010-006746 - 0901a068801ff487,DAQ-2010-006746,Big West Oil LLC - Semiannual QQQ Compliance Letter,12/13/2010
DAQ-2010-007472 - 0901a06880246067,DAQ-2010-007472,Big West Oil LLC - Flying J Refinery - Stack Test Report,9/17/2010
DAQ-2011-001481 - 0901a068801fa117,DAQ-2011-001481,Flying J Refinery - Full Compliance Evaluation,1/5/2011
DAQ-2011-001482 - 0901a068801fa118,DAQ-2011-001482,Big West Oil LLC - Review of Stack Test Report dated 6/14/2010,1/12/2011
DAQ-2011-001483 - 0901a068801fa18d,DAQ-2011-001483,Big West Oil LLC - Breakdown Report - 1/14/2011,1/14/2011
DAQ-2011-001506 - 0901a068801fa2a4,DAQ-2011-001506,Big West Oil Co. LLC - Pretest Protocol Review letter,1/26/2011
DAQ-2011-001507 - 0901a068801fa2a5,DAQ-2011-001507,Big West Oil Co. LLC - Pretest Protocol Review memo & Protocol dated 1/19/2011,1/20/2011
DAQ-2011-001711 - 0901a068801ff469,DAQ-2011-001711,Big West Oil LLC - Semiannual NSPS VOC Monitoring Report - 2nd Half of 2010,1/6/2011
DAQ-2011-001712 - 0901a068801ff486,DAQ-2011-001712,Big West Oil LLC - 4th Qtr 2010 VOC Monitoring Report,1/6/2011
DAQ-2011-001713 - 0901a068801ff488,DAQ-2011-001713,Big West Oil LLC - 4th Qtr 2010 SEDR Review letter,2/2/2011
DAQ-2011-001714 - 0901a068801ff489,DAQ-2011-001714,Big West Oil LLC - 4th Qtr 2010 SEDR Review memo,1/31/2011
DAQ-2011-002244 - 0901a0688020ca7c,DAQ-2011-002244,Big West Oil LLC - Notification of Tank 3 Returning to Liquid Petroleum Service,2/2/2011
DAQ-2011-002245 - 0901a0688020ca7d,DAQ-2011-002245,Big West Oil LLC - Heater/Boiler MACT Semiannual Report,1/27/2011
DAQ-2011-002246 - 0901a0688020ca7e,DAQ-2011-002246,Big West Oil LLC - MACT II Semiannual Report,1/27/2011
DAQ-2011-002247 - 0901a0688020cac2,DAQ-2011-002247,Big West Oil LLC - Breakdown Report for MSCC Unit - 1/14/2011,1/20/2011
DAQ-2011-002409 - 0901a06880212f64,DAQ-2011-002409,Big West Oil - MACT Semiannual Report - 7/16/2010 to 1/15/2011,3/10/2011
DAQ-2011-002410 - 0901a06880212f65,DAQ-2011-002410,Big West Oil LLC - Pretest Protocol Review letter,3/15/2011
DAQ-2011-002411 - 0901a06880212f95,DAQ-2011-002411,Big West Oil LLC - Pretest Protocol Review memo & Protocol received 3/8/2011,3/9/2011
DAQ-2011-002412 - 0901a06880212f69,DAQ-2011-002412,Big West Oil LLC - Flying J Refinery - Pretest Protocol Review letter,3/17/2011
