ApprovalOrderID,AppliedOn,IssuedOn,PDFLink,OwnerName,SourceName,PhysicalStreet,PhysicalCity,PhysicalState,PhysicalZip,SourceContactName,SourceContactPhone,SourceContactEmail,UTM_Easting,UTM_Northing,UTM_Zone,UTM_Datum,SIC_Code,GeneralDescription,NSR_Classification,Source_Classification,Applicable_Federal_Standards,Project_Description,Project_CO2e_TPY,Project_CO_TPY,Project_NOx_TPY,Project_PM10_TPY,Project_PM25_TPY,Project_SO2_TPY,Project_VOC_TPY,Project_Total_HAPs_TPY,Source_CO2e_TPY,Source_CO_TPY,Source_NOx_TPY,Source_PM10_TPY,Source_PM25_TPY,Source_SO2_TPY,Source_VOC_TPY,Source_Total_HAPs_TPY
DAQE-AN141970007-25,"July 18, 2025",2025-09-09,https://daqpermitting.utah.gov/DocViewer?IntDocID=157671&contentType=application/pdf,"3form Material Solutions, Inc.","3form Material Solutions, Inc. - Ecoresin Panels Plant(Site ID: 14197)",955 South 3800 West,Salt Lake City,UT,84104,Steve Allen,(801) 649-2540,steve.allen@3-form.com,417305,4511293,12,NAD83,2542,"3form Material Solutions, Inc. (3form) operates two (2) paint booths; one (1) paint mix room; several cutting machines, such as laser machines, saws, shapers, polishers, and planers; and several small natural gas-fired heaters. Emissions from the facility are primarily VOC. 3form employs a baghouse, a degreaser, and booths to control emissions.",Administrative Amendment,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA, Salt Lake County SO2 NAA Salt Lake County Airs Source Size: B",None,"3form has requested an administrative amendment to AO DAQE-AN141970006-20, dated April 30, 2020, to remove the Powder Coating Booth (II.A.8) and associated conditions and to clarify the use of the Paint Booths (II.A.2). The source never installed a separate Powder Coating Booth as listed in the equipment list. Instead, all powder coating operations have been processed in the Paint Booths.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,0.43,0.64,13.82,13.82,0.0,10.0,5.01
,"February 18, 2022",2022-03-11,https://daqpermitting.utah.gov/DocViewer?IntDocID=129228&contentType=application/pdf,"3form Material Solutions, Inc.","3form Material Solutions, Inc.- Plastic Laminate Plant(Site ID: 14063)",2300 South 2300 West,West Valley City,UT,84119,,,,,,,,,,Modification,,,,,,,,,,,,,,,,,,,
DAQE-AN162720001-25,"May 1, 2025",2025-09-17,https://daqpermitting.utah.gov/DocViewer?IntDocID=157881&contentType=application/pdf,ACS Manufacturing Inc.,ACS Manufacturing Inc.- Clearfield Fabrication Facility(Site ID: 16272),200 East 700 South,Clearfield,UT,84015,Matthew Knox,(580) 775-2289,matthew.knox@acsmanufacturing.com,414169,4550544,12,NAD83,3444,"ACS Manufacturing Inc. (ACS) has requested an AO for a new emergency system manufacturing facility in Clearfield, Davis County. The facility will produce acoustic equipment, enclosures, fuel tanks, turbine systems, and skids. Raw metal is brought to the facility where it is cut, bent, and painted.",New Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA Davis County Airs Source Size: B",................................................................................................. 3,"ACS has requested an AO for a new emergency system manufacturing facility in Clearfield, Davis County. The facility has one (1) paint booth that will primarily emit VOCs and HAPs. The facility includes an abrasive blasting room that is controlled by a full room dust collection system and vented internally.",,,,10.0,,,,,,,,0.06,,,,
DAQE-AN129100005A-14,"August 20, 2014",2014-11-25,https://daqpermitting.utah.gov/DocViewer?IntDocID=77973&contentType=application/pdf,"AMPAC, Utah Operations","AMPAC, Utah Operations- Production Facility(Site ID: 12910)",10622 West 6400 North,Cedar City,UT,84721,,(435) 865-6147,nmeli@utah.gov,299100,4185600,12,,2819,"American Pacific Corporation (AMPAC) operates a chemical plant located near Cedar City. The present plant has two (2) 900 Hp boilers that provide steam for the plant operations. These boilers provide an excess of steam than is required for the current production rate. AMPAC has request approval to replace each 900 Hp boiler with two (2) 400 Hp boilers. This would allow them to ramp up the boilers to provide steam as needed for their plant operations. The larger boilers provide more steam than is needed which also generates a higher emission rate than would be generated from the smaller boilers. The smaller boilers have a 9 ppm NO x rating and the current boilers are rated at over 50 ppm. Currently there are two (2) additional AOs at the AMPAC site. The AO,",Modification,,,,,,,,,,,,,,,,,,,
DAQE-AN141260002-24,"February 7, 2024",2024-06-12,https://daqpermitting.utah.gov/DocViewer?IntDocID=145829&contentType=application/pdf,AT&T,"AT&T Communications of the Mountain States, Inc- Standby Generators(Site ID: 14126)",1760 North Highway 38,Brigham City,UT,84302,Travis Bawcum,(469) 753-0626,G43913@att.com,415463,4599323,12,NAD83,4813,"AT&T Communications of the Mountain States, Incorporated (AT&T) owns and operates a data center in Brigham City, Box Elder County. The data center includes emergency generators that are used for electricity production during periods when electric power from public utilities is interrupted.",Minor Modification at Minor Source,"Located in Salt Lake City, UT PM2.5 NAA Box Elder County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines DAQE-AN141260002-24 Page 4","AT&T has requested a modification to AO DAQE-AN0141260001-08 for the following changes: - Remove three (3) 15 kW, diesel-fired emergency generators (listed as EGEN1-3 under Condition 7.A of AO DAQE-AN0141260001-08); - Add one (1) 40 kW, diesel-fired, emergency generator, and - Update the capacity of the diesel storage tank (listed as Tank 1 under Condition 7.B of AO DAQE-AN0141260001-08) from 4,000 gallons to 8,000 gallons.",-3.0,-0.01,-0.05,-0.01,-0.01,-0.17,0.0,0.0,405.0,1.93,8.46,0.26,0.26,0.0,0.27,0.0
DAQE-AN140150004-23,,2023-11-07,https://daqpermitting.utah.gov/DocViewer?IntDocID=140946&contentType=application/pdf,ATI Titanium L.L.C.,"ATI Titanium, LLC- Titanium Sponge Manufacturing Facility(Site ID: 14015)",12633 North Rowley Road,Tooele,UT,84029,,(541) 812-7230,,353720,4530280,12,NAD83,3339,"ATI Titanium, LLC is the owner and operator of a Titanium Sponge Manufacturing Facility in Tooele County. This facility produces titanium metal from titanium tetrachloride.",10-Year Review,Located in Attainment Area Tooele County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines",This project is a 10-year review of this source and the Approval Order associated with it.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64334.0,16.17,6.32,14.87,14.87,0.33,1.18,5.53
DAQE-AN142250003-18,"September 15, 2017",2018-11-13,https://daqpermitting.utah.gov/DocViewer?IntDocID=111603&contentType=application/pdf,Action Target Inc.,Action Target Inc.- Firearms Training Equipment Manufacturing Site #2(Site ID: 14225),3411 S Mountain Vista Parkway,Provo,UT,84606,,(801) 705-9150,schristian@actiontarget.com,447309,4449313,12,,3449,Action Target Inc. (Action Target) has requested a modification to AO,Modification,,,,,,,,,,,,,,,,,,,
DAQE-AN119990003-24,,2024-09-27,https://daqpermitting.utah.gov/DocViewer?IntDocID=148809&contentType=application/pdf,Adonis Bronze,Adonis Bronze- Bronze Molding Facility(Site ID: 11999),"450 South Alpine Hwy, Suite 102",Alpine,UT,84004,Gary Streadbeck,(801) 763-9700,Gary@adonisbronze.com,433777,4477712,12,NAD83,3316,"Adonis Bronze (Adonis) owns and operates a bronze molding facility in the city of Alpine, Utah County. Bronze sculptures are molded from clay sculptures of various artists using thin ceramic molds that are created using a natural gas-fired kiln. Bronze metal is melted using two (2) small natural gas-fired kilns and subsequently poured into the molds. The molds are chipped away, and the bronze sculptures are sandblasting for cleaning.",10-Year Review,"Located in Southern Wasatch Front O3 NAA, Provo UT PM2.5 NAA Utah County Airs Source Size: B",None,"This administrative amendment is to AO DAQE-923-97, dated October 2, 1997. The DAQ is conducting a 10-year review and is updating the language and format of the 1997 AO.  According to Adonis and a DAQ Compliance Inspection Memorandum (See DAQC-036-16, dated January 6, 2016), Equipment C in Condition #5 (J.F. McCaughin Co. # 4-102 Gas-Heated Scoth Marine Steam Boiler, 35 HP) of the 1997 AO was replaced in 2012. The new boiler is a Cleaver Brooks natural gas-fired boiler with a rating of 2.5 MMBtu/hr (~75 hp). Utah Administrative Code (UAC) Rule R307-401-10(1) exempts natural gas fuel-burning equipment with a rated capacity of less than 5 MMBtu/hr from the approval order process. Emissions are adjusted to account for the PTE increase due to the new boiler's higher rating. Additionally, Equipment E in Condition #5 (Bronze Meltdown Kiln #2) of the 1997 AO was never installed. This equipment will be removed in the current AO. There are no changes to the operations taking place at the Adonis Bronze Molding facility.",,0.47,0.28,0.04,0.04,0.0,0.03,,,0.68,0.95,5.95,5.95,0.01,0.07,
DAQE-AN149200002-21,"September 15, 2020",2021-12-02,https://daqpermitting.utah.gov/DocViewer?IntDocID=127476&contentType=application/pdf,Advance Storage Products,Advance Storage Products- Salt Lake City Manufacturing Facility(Site ID: 14920),939 South 700 West,Salt Lake City,UT,84104,,(385) 235-7852,,423150,4511256,11,NAD83,2542,"Advance Storage Products (ASP) operates an industrial warehouse pallet rack manufacturing plant in Salt Lake City, Salt Lake County. The process consists of cutting various steel sheets through the use of a plasma cutting system, welding, and painting. On-site emissions are from the plasma cutting system, painting operations, and natural gas combustion. ASP employs baghouse and High Volume, Low Pressure (HVLP) or air-assisted airless spray guns.",Minor Modification at Minor Source,"Located in Salt Lake City CO Maintenance Area, Northern Wasatch Front O3 NAA, Salt Lake City UT PM2.5 NAA, Salt Lake County SO2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), EE: Standards of Performance for Surface Coating of Metal Furniture Title V (Part 70) Area Source DAQE-AN149200002-21 Page 4","ASP has requested to operate a plasma cutting system. This system will be controlled by one (1) baghouse. Facility-wide PTE were re-evaluated as part of this modification based on equipment list and operations. The following updates were made to the AO: 1) Added a plasma cutting system, listed as II.A.2 2) Added a baghouse, listed as II.A.3 3) Updated facility-wide PTE",0.0,0.0,0.0,1.56,1.58,0.0,0.0,0.0,5745.0,1.62,1.74,1.95,1.95,0.03,45.27,0.09
DAQE-AN157400001-17,"March 23, 2017",2017-11-28,https://daqpermitting.utah.gov/DocViewer?IntDocID=105581&contentType=application/pdf,"AlTech Recovery, LLC","AlTech Recovery, LLC - Secondary Aluminum Operation(Site ID: 15740)",2050 South 7500 West,Magna,UT,84044,,(801) 414-1737,steve@image-point.com,409514,4509004,12,,3341,"AlTech Recovery, LLC (AlTech) has requested a new AO for a secondary aluminum operation located in Magna, Salt Lake County. The secondary aluminum operation will process scrap aluminum from automobiles to create aluminum ingots, which AlTech will transfer off site. AlTech is requesting to install an aluminum sweat furnace. The aluminum sweat furnace will separate aluminum from the other metals contained in the aluminum scrap. Magna in Salt Lake County is a maintenance area of the NAAQS for ozone, a NAA of the NAAQS for PM 10 , PM 2.5 , and SO 2, and an attainment area for all other criteria pollutants. MACT (40 CFR 63 Subparts A and RRR) regulations apply to this source. NSPS (40 CFR 60) and NESHAP (40 CFR 61) regulations and Title V of the 1990 CAA do not apply to this source. The potential emissions, in TPY, will be as follows: PM 10 = 9.64, PM 2.5 (subset of PM 10 ) = 9.64, NO x = 1.43, SO 2 = 0.01, CO = 1.20, VOC = 0.08, HAPs = 0.03, and CO2e = 1,710. This air quality AO authorizes the project with the following conditions and failure to comply with any of the conditions may constitute a violation of this order. This AO is issued to, and applies to the following: Name of Permittee: AlTech Recovery, LLC 2050 South 7500 West Magna, UT 84044 Permitted Location: Secondary Aluminum Operation 2050 South 7500 West Magna, UT 84044 UTM coordinates: 409,514 m Easting, 4,509,004 m Northing, UTM Zone 12 UTM Datum: NAD83 SIC code: 3341 (Secondary Smelting & Refining of Nonferrous Metals)",Modification,,,,,,,,,,,,,,,,,,,
